OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-06-28T15:28:04.137312,13.76635109,.00231976,90.2226,72.0404,259.2780,131.7004,0,U,900,999,7300,.53945168E-3,.539E-5,0
CALSPHERE 2,1964-063E,2026-06-28T15:29:00.153024,13.52901073,.00181031,90.2366,76.0703,188.0548,244.5507,0,U,902,999,85781,.91273759E-4,.7E-6,0
LCS 1,1965-034C,2026-06-28T13:58:24.342816,9.89310831,.0012312,32.1364,149.9649,163.5421,196.5477,0,U,1361,999,21101,-.16749173E-2,-.4E-7,0
TEMPSAT 1,1965-065E,2026-06-28T15:07:02.605728,13.33594637,.00685088,89.9981,212.5948,215.1833,269.8404,0,U,1512,999,96157,.75126616E-4,.46E-6,0
CALSPHERE 4A,1965-065H,2026-06-28T15:08:05.662176,13.36280414,.0072135,89.8989,122.3752,71.5714,107.5104,0,U,1520,999,96423,.14873878E-3,.87E-6,0
OPS 5712 (P/L 160),1967-053A,2026-06-28T14:57:16.125984,14.77863725,.00010464,69.9170,10.2629,299.1793,60.9251,0,U,2826,999,6792,.93777124E-3,.6684E-4,0
LES-5,1967-066E,2026-06-28T02:13:15.595104,1.09425286,.00517796,2.6483,96.0278,214.1927,4.5960,0,U,2866,999,13115,0,-.48E-6,0
SURCAL 159,1967-053F,2026-06-28T14:13:49.971936,13.99605471,.00044105,69.9751,336.2668,106.6051,253.5541,0,U,2872,999,1180,.77249132E-4,.59E-6,0
OPS 5712 (P/L 153),1967-053H,2026-06-28T03:37:40.149696,13.96829794,.00079064,69.9742,91.8070,201.3065,158.7713,0,U,2874,999,832,.37561483E-4,-.1E-7,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-06-28T14:31:08.892192,14.37881019,.00594015,87.6221,335.6372,192.8226,167.1467,0,U,5398,999,87552,.23044479E-3,.727E-5,0
OSCAR 7 (AO-7),1974-089B,2026-06-28T15:30:34.905312,12.53698301,.00126465,101.9899,193.0123,108.8638,8.4309,0,U,7530,999,36195,.12546905E-3,-.26E-6,0
STARLETTE,1975-010A,2026-06-28T14:03:53.957088,13.82350494,.02056158,49.8242,59.6002,100.7206,261.6908,0,U,7646,999,59611,.5217914E-5,-.139E-5,0
LAGEOS 1,1976-039A,2026-06-28T13:52:56.581824,6.38664728,.00446655,109.8035,183.2333,299.8224,226.6604,0,U,8820,999,91386,0,.11E-6,0
PHASE 3B (AO-10),1983-058B,2026-06-26T14:17:11.121504,2.05872938,.60076223,25.9202,218.0092,118.2548,314.1516,0,U,14129,999,29568,0,-.217E-5,0
UOSAT 2 (UO-11),1984-021B,2026-06-28T11:56:22.686720,14.90810480,.00085864,97.8063,144.9461,137.7568,222.4313,0,U,14781,999,25881,.13063697E-3,.123E-4,0
